tornado_id,window,read_status,positive_pixels,negative_pixels,sampled_positive,sampled_negative,error
TOR68,"Window(col_off=3328, row_off=1536, width=65, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=0, row_off=1792, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=256, row_off=1792, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=512, row_off=1792, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=768, row_off=1792, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=1024, row_off=1792, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=1280, row_off=1792, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=1536, row_off=1792, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=1792, row_off=1792, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=2048, row_off=1792, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=2304, row_off=1792, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=2560, row_off=1792, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=2816, row_off=1792, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=3072, row_off=1792, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=3328, row_off=1792, width=65, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=0, row_off=2048, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=256, row_off=2048, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=512, row_off=2048, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=768, row_off=2048, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=1024, row_off=2048, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=1280, row_off=2048, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=1536, row_off=2048, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=1792, row_off=2048, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=2048, row_off=2048, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=2304, row_off=2048, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=2560, row_off=2048, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=2816, row_off=2048, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=3072, row_off=2048, width=256, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=3328, row_off=2048, width=65, height=256)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=0, row_off=2304, width=256, height=20)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=256, row_off=2304, width=256, height=20)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=512, row_off=2304, width=256, height=20)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=768, row_off=2304, width=256, height=20)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=1024, row_off=2304, width=256, height=20)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=1280, row_off=2304, width=256, height=20)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=1536, row_off=2304, width=256, height=20)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=1792, row_off=2304, width=256, height=20)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=2048, row_off=2304, width=256, height=20)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=2304, row_off=2304, width=256, height=20)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=2560, row_off=2304, width=256, height=20)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=2816, row_off=2304, width=256, height=20)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=3072, row_off=2304, width=256, height=20)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
TOR68,"Window(col_off=3328, row_off=2304, width=65, height=20)",READ_ERROR,0,0,0,0,Read failed. See previous exception for details.
